frame id, time, X, Y, Z
66938, 3.301115, 0, -0.1494384, 1.120638, -9.062218
66938, 3.307559, 0, -0.14924, 1.119805, -9.06197
66939, 3.313883, 0, -0.1487309, 1.119122, -9.061917
66939, 3.319946, 0, -0.1484162, 1.118347, -9.061743
66940, 3.326229, 0, -0.148022, 1.117637, -9.061684
66940, 3.33161, 0, -0.147751, 1.117073, -9.061596
66940, 3.339264, 0, -0.1473098, 1.116156, -9.061455
66941, 3.344318, 0, -0.1469679, 1.115676, -9.061389
66941, 3.350461, 0, -0.1466105, 1.115044, -9.061295
66941, 3.357873, 0, -0.1461843, 1.11429, -9.061183
66942, 3.36313, 0, -0.1460111, 1.113927, -9.061047
66942, 3.369209, 0, -0.1457245, 1.113399, -9.060939
66943, 3.376286, 0, -0.1455497, 1.112886, -9.060587
66943, 3.381624, 0, -0.1453728, 1.112478, -9.060397
66943, 3.388608, 0, -0.1451313, 1.111921, -9.060139
66944, 3.394463, 0, -0.1449497, 1.111274, -9.059618
66944, 3.399113, 0, -0.1447954, 1.110828, -9.059324
66944, 3.405054, 0, -0.1445843, 1.110218, -9.058922
66945, 3.412153, 0, -0.144486, 1.109602, -9.058673
66945, 3.41792, 0, -0.144347, 1.10906, -9.058381
66945, 3.424975, 0, -0.1441649, 1.108349, -9.058
66946, 3.430876, 0, -0.1441908, 1.107734, -9.057713
66946, 3.437199, 0, -0.1441049, 1.107081, -9.057381
66946, 3.443214, 0, -0.144021, 1.106443, -9.057057
66947, 3.449045, 0, -0.1438596, 1.105838, -9.056617
66947, 3.455692, 0, -0.1437317, 1.105139, -9.056204
66947, 3.46246, 0, -0.1435933, 1.104384, -9.055757
66948, 3.468827, 0, -0.1435392, 1.103879, -9.055417
66948, 3.475351, 0, -0.1434393, 1.103261, -9.055037
66948, 3.481027, 0, -0.1433421, 1.10266, -9.054667
66949, 3.487411, 0, -0.1435224, 1.101984, -9.054122
66949, 3.493033, 0, -0.1435185, 1.101403, -9.053724
66950, 3.500751, 0, -0.1435755, 1.100875, -9.053491
66950, 3.50658, 0, -0.1435981, 1.10045, -9.053254
66950, 3.512806, 0, -0.1436239, 1.099962, -9.052982
66950, 3.519433, 0, -0.1436518, 1.099438, -9.05269
66951, 3.524691, 0, -0.1435293, 1.099066, -9.052832
66951, 3.524691, 1, 0.2050241, 1.117044, -9.087841
66951, 3.531213, 0, -0.1435035, 1.098577, -9.052686
66951, 3.531213, 1, 0.2050241, 1.117044, -9.087841
66952, 3.538904, 0, -0.1432929, 1.09837, -9.05273
66952, 3.538904, 1, 0.1984537, 1.120858, -9.086961
66952, 3.544786, 0, -0.1431954, 1.098038, -9.052673
66952, 3.544786, 1, 0.1958218, 1.122386, -9.086608
66952, 3.552115, 0, -0.1430838, 1.097658, -9.052608
66952, 3.552115, 1, 0.1928113, 1.124133, -9.086205
66953, 3.561048, 0, -0.1430581, 1.097605, -9.052562
66953, 3.561048, 1, 0.1897312, 1.12576, -9.085037
66953, 3.568041, 0, -0.1429956, 1.097404, -9.052515
66953, 3.568041, 1, 0.1872345, 1.127154, -9.084447
66953, 3.575621, 0, -0.1429227, 1.097169, -9.05246
66953, 3.575621, 1, 0.1843259, 1.128779, -9.083759
66954, 3.583096, 0, -0.1427952, 1.097116, -9.05229
66954, 3.583096, 1, 0.1806832, 1.129812, -9.083137
66954, 3.590353, 0, -0.1427126, 1.096963, -9.052204
66954, 3.590353, 1, 0.1778429, 1.131083, -9.082541
66954, 3.597754, 0, -0.1426246, 1.096799, -9.052114
66954, 3.597754, 1, 0.1748141, 1.13244, -9.081904
66954, 3.604737, 0, -0.1425354, 1.096633, -9.052021
66954, 3.604737, 1, 0.1717447, 1.133814, -9.08126
66955, 3.611883, 0, -0.1423509, 1.096588, -9.051902
66955, 3.611883, 1, 0.171701, 1.13269, -9.081093
66955, 3.619038, 0, -0.1422418, 1.096451, -9.051805
66955, 3.619038, 1, 0.169352, 1.133487, -9.080564
66955, 3.625418, 0, -0.1421402, 1.096324, -9.051714
66955, 3.625418, 1, 0.1671641, 1.134229, -9.080072
66956, 3.632414, 0, -0.1419385, 1.096417, -9.051803
66956, 3.632414, 1, 0.1619173, 1.136799, -9.077894
66956, 3.642969, 0, -0.1417334, 1.096282, -9.051715
66956, 3.642969, 1, 0.1571867, 1.138681, -9.07648
66957, 3.653364, 0, -0.141809, 1.09609, -9.051681
66957, 3.653364, 1, 0.1538924, 1.138667, -9.075938
66957, 3.660107, 0, -0.141739, 1.095989, -9.051635
66957, 3.660107, 1, 0.1511338, 1.139464, -9.075214
66958, 3.667651, 0, -0.1416824, 1.095744, -9.051522
66958, 3.667651, 1, 0.1493189, 1.138487, -9.074965
66958, 3.674214, 0, -0.1416214, 1.095607, -9.05146
66958, 3.674214, 1, 0.1470435, 1.138686, -9.074438
66959, 3.680481, 0, -0.1416649, 1.095401, -9.05135
